IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,33164,142.251.45.35,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3043,6,6,2026-09-09T20:31:11.266-06:00,2026-09-09T20:31:11.374-06:00
17,10.215.173.1,44246,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,89,1,1,2026-09-09T21:34:09.165-06:00,2026-09-09T21:34:09.240-06:00
17,10.215.173.1,57783,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,77,1,1,2026-09-09T21:34:09.170-06:00,2026-09-09T21:34:09.240-06:00
6,10.215.173.1,43644,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3085,7,7,2026-09-09T21:34:09.247-06:00,2026-09-09T21:34:09.424-06:00
6,10.215.173.1,43658,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3044,6,6,2026-09-09T21:34:09.402-06:00,2026-09-09T21:34:09.543-06:00
6,10.215.173.1,43672,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3044,6,6,2026-09-09T21:34:09.518-06:00,2026-09-09T21:34:09.644-06:00
6,10.215.173.1,43688,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3044,6,6,2026-09-09T21:34:09.621-06:00,2026-09-09T21:34:09.742-06:00
6,10.215.173.1,43700,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3084,7,7,2026-09-09T21:34:09.717-06:00,2026-09-09T21:34:09.842-06:00
6,10.215.173.1,43712,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3044,6,6,2026-09-09T21:34:09.844-06:00,2026-09-09T21:34:09.988-06:00
17,10.215.173.1,18780,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,89,1,1,2026-09-09T22:36:02.841-06:00,2026-09-09T22:36:02.899-06:00
17,10.215.173.1,18215,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,77,1,1,2026-09-09T22:36:02.844-06:00,2026-09-09T22:36:02.901-06:00
6,10.215.173.1,59050,142.251.210.163,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3085,7,7,2026-09-09T22:36:02.909-06:00,2026-09-09T22:36:03.056-06:00
6,10.215.173.1,59060,142.251.210.163,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3084,7,7,2026-09-09T22:36:03.039-06:00,2026-09-09T22:36:03.164-06:00
6,10.215.173.1,59064,142.251.210.163,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3043,6,6,2026-09-09T22:36:03.153-06:00,2026-09-09T22:36:03.256-06:00
6,10.215.173.1,59080,142.251.210.163,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Error,www.gstatic.com,807,3004,6,5,2026-09-09T22:36:03.241-06:00,2026-09-09T22:36:03.324-06:00
