IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,53427,10.215.173.2,53,10148,Messages,com.google.android.apps.messaging,DNS,Closed,messages.google.com,65,93,1,1,2026-09-09T19:29:35.608-06:00,2026-09-09T19:29:35.668-06:00
17,10.215.173.1,45912,10.215.173.2,53,10148,Messages,com.google.android.apps.messaging,DNS,Closed,messages.google.com,65,81,1,1,2026-09-09T19:29:35.611-06:00,2026-09-09T19:29:35.668-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,57522,2607:f8b0:4012:828::200e,443,10148,Messages,com.google.android.apps.messaging,TLS,Unreachable,messages.google.com,80,60,1,1,2026-09-09T19:29:35.675-06:00,2026-09-09T19:29:35.677-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,57522,2607:f8b0:4012:828::200e,443,10148,Messages,com.google.android.apps.messaging,TLS,Unreachable,messages.google.com,80,60,1,1,2026-09-09T19:29:35.695-06:00,2026-09-09T19:29:35.696-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,57528,2607:f8b0:4012:828::200e,443,10148,Messages,com.google.android.apps.messaging,TLS,Unreachable,messages.google.com,80,60,1,1,2026-09-09T19:29:35.929-06:00,2026-09-09T19:29:35.931-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,57528,2607:f8b0:4012:828::200e,443,10148,Messages,com.google.android.apps.messaging,TLS,Unreachable,messages.google.com,80,60,1,1,2026-09-09T19:29:35.942-06:00,2026-09-09T19:29:35.945-06:00
6,10.215.173.1,55680,192.178.56.238,443,10148,Messages,com.google.android.apps.messaging,HTTPS,Closed,messages.google.com,2129,5320,7,6,2026-09-09T19:29:35.979-06:00,2026-09-09T19:29:36.103-06:00
6,10.215.173.1,55692,192.178.56.238,443,10148,Messages,com.google.android.apps.messaging,HTTPS,Closed,messages.google.com,2105,5362,8,7,2026-09-09T19:29:36.233-06:00,2026-09-09T19:29:36.354-06:00
17,10.215.173.1,37270,10.215.173.2,53,10148,Messages,com.google.android.apps.messaging,DNS,Closed,instantmessaging-pa-jms-us.googleapis.com,87,115,1,1,2026-09-09T20:46:19.511-06:00,2026-09-09T20:46:19.591-06:00
17,10.215.173.1,4620,10.215.173.2,53,10148,Messages,com.google.android.apps.messaging,DNS,Closed,instantmessaging-pa-jms-us.googleapis.com,87,103,1,1,2026-09-09T20:46:19.513-06:00,2026-09-09T20:46:19.591-06:00
