IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,50781,10.215.173.2,53,10155,Find Hub,com.google.android.apps.adm,DNS,Closed,firebaseinstallations.googleapis.com,82,306,1,1,2026-09-10T00:51:54.745-06:00,2026-09-10T00:51:54.798-06:00
6,10.215.173.1,42994,172.217.113.4,443,10155,Find Hub,com.google.android.apps.adm,HTTPS,Error,firebaseinstallations.googleapis.com,1793,5144,9,9,2026-09-10T00:51:54.816-06:00,2026-09-10T00:52:00.965-06:00
6,10.215.173.1,43002,172.217.113.4,443,10155,Find Hub,com.google.android.apps.adm,HTTPS,Closed,firebaseinstallations.googleapis.com,1794,5269,10,10,2026-09-10T00:51:55.044-06:00,2026-09-10T00:52:01.032-06:00
6,10.215.173.1,43012,172.217.113.4,443,10155,Find Hub,com.google.android.apps.adm,HTTPS,Closed,android.googleapis.com,2685,4998,9,9,2026-09-10T00:51:58.556-06:00,2026-09-10T00:53:04.700-06:00
17,10.215.173.1,26544,10.215.173.2,53,10155,Find Hub,com.google.android.apps.adm,DNS,Closed,findmydevice-pa.googleapis.com,76,300,1,1,2026-09-10T00:51:59.568-06:00,2026-09-10T00:51:59.654-06:00
17,10.215.173.1,64639,10.215.173.2,53,10155,Find Hub,com.google.android.apps.adm,DNS,Closed,findmydevice-pa.googleapis.com,76,204,1,1,2026-09-10T00:51:59.580-06:00,2026-09-10T00:51:59.629-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,54386,2001:4860:4842:400::,443,10155,Find Hub,com.google.android.apps.adm,TLS,Unreachable,findmydevice-pa.googleapis.com,80,60,1,1,2026-09-10T00:51:59.664-06:00,2026-09-10T00:51:59.671-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,54386,2001:4860:4842:400::,443,10155,Find Hub,com.google.android.apps.adm,TLS,Unreachable,findmydevice-pa.googleapis.com,80,60,1,1,2026-09-10T00:51:59.686-06:00,2026-09-10T00:51:59.688-06:00
6,10.215.173.1,52732,192.178.56.78,443,10155,Find Hub,com.google.android.apps.adm,HTTPS,Closed,clients4.google.com,4066,95466,34,34,2026-09-10T00:51:59.706-06:00,2026-09-10T00:53:04.700-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,54388,2001:4860:4842:400::,443,10155,Find Hub,com.google.android.apps.adm,TLS,Unreachable,findmydevice-pa.googleapis.com,80,60,1,1,2026-09-10T00:51:59.925-06:00,2026-09-10T00:51:59.929-06:00
